room_type,review_count,avg_rating,is_superhost,bedrooms,beds,bathrooms,persons,lat,lng,neighborhood,dist_center_km,is_tourist_zone,is_entire_home,est_active_months,est_start_year,price_eur_night,early_adopter,log_price,maturity,price_tier
Entire home/apt,166,4.89,1,1,1,1,3,41.328680153698826,19.813829060711782,Blloku,0.556,1,1,66,2020,341.0,1,5.834810737062605,veteran,premium
Entire home/apt,187,4.9,1,1,1,1,2,41.32435,19.81024,Blloku,1.002,1,1,75,2019,321.0,1,5.7745515455444085,veteran,premium
Entire home/apt,153,4.86,0,1,2,1,3,41.32805996967127,19.812354510834343,Blloku,0.707,1,1,61,2020,364.0,1,5.8998973535824915,veteran,premium
Entire home/apt,54,4.78,0,1,1,1,4,41.32210123096071,19.81574600859833,Blloku,0.683,1,1,22,2024,391.0,0,5.971261839790462,established,premium
Entire home/apt,104,4.93,1,1,1,1,2,41.33354,19.82166,Myslym Shyri,0.747,1,1,42,2022,257.0,0,5.552959584921617,established,mid
Entire home/apt,0,4.92,1,2,3,1,5,41.33040117771233,19.81339283287525,Blloku,0.671,1,1,1,2025,353.0,0,5.869296913133774,new,premium
Entire home/apt,179,4.82,0,2,2,1,5,41.332966,19.820515,Pazari i Ri,0.639,1,1,72,2019,484.0,1,6.184148890937483,veteran,premium
Entire home/apt,72,4.99,1,2,2,1,3,41.32738421539848,19.81137380003929,Blloku,0.813,1,1,29,2023,464.0,0,6.142037405587356,established,premium
Private room,275,4.89,1,1,1,1,2,41.32005,19.81717,Blloku,0.844,1,0,84,2018,344.0,1,5.84354441703136,veteran,premium
Entire home/apt,272,4.89,1,1,2,1,4,41.32958,19.8141,Blloku,0.56,1,1,84,2018,329.0,1,5.799092654460526,veteran,premium
Entire home/apt,0,4.92,1,1,1,1,2,41.3322830851514,19.825815483927727,Myslym Shyri,0.952,1,1,1,2025,387.0,0,5.961005339623274,new,premium
Entire home/apt,596,4.91,1,1,1,1,2,41.32238,19.81896,Blloku,0.569,1,1,84,2018,443.0,1,6.095824562432225,veteran,premium
Entire home/apt,76,4.96,1,1,1,1,2,41.33072997950658,19.825635105371475,Myslym Shyri,0.849,1,1,30,2023,485.0,0,6.186208623900494,established,premium
Entire home/apt,3,5.0,0,2,5,1,6,41.331753377057176,19.821229241788387,Pazari i Ri,0.549,1,1,1,2025,588.0,0,6.3784261836515865,early,luxury
Entire home/apt,19,4.95,1,1,1,1,2,41.33026119926108,19.816332198679447,Blloku,0.404,1,1,8,2025,509.0,0,6.234410725718371,active,luxury
Entire home/apt,218,4.88,1,1,2,1,4,41.33405,19.81559,Blloku,0.805,1,1,84,2018,261.0,1,5.568344503761097,veteran,mid
Entire home/apt,70,4.94,1,1,2,1,3,41.329941,19.824825,Myslym Shyri,0.732,1,1,28,2023,351.0,0,5.863631175598097,established,premium
Entire home/apt,55,4.87,1,2,3,1,5,41.33341774049926,19.821209460496902,Myslym Shyri,0.713,1,1,22,2024,614.0,0,6.421622267806518,established,luxury
Entire home/apt,81,4.86,1,1,2,1,3,41.3225673,19.8144819,Blloku,0.72,1,1,32,2023,298.0,0,5.700443573390686,established,mid
Entire home/apt,196,4.95,1,1,1,1,2,41.32709,19.81388,Blloku,0.537,1,1,78,2019,392.0,1,5.973809611869261,veteran,premium
Entire home/apt,238,4.94,1,1,1,1,2,41.32656166166692,19.81391955167055,Blloku,0.541,1,1,84,2018,317.0,1,5.762051382780177,veteran,premium
Entire home/apt,227,4.89,0,1,1,1,3,41.327032,19.814839,Blloku,0.432,1,1,84,2018,408.0,1,6.013715156042802,veteran,premium
Entire home/apt,278,4.91,1,1,2,1,3,41.32893,19.82342,Pazari i Ri,0.547,1,1,84,2018,392.0,1,5.973809611869261,veteran,premium
Entire home/apt,221,4.88,1,1,1,1,2,41.33345,19.81817,Blloku,0.663,1,1,84,2018,263.0,1,5.575949103146316,veteran,mid
Entire home/apt,54,4.89,0,1,1,1,2,41.33009,19.82779,Myslym Shyri,1.049,1,1,22,2024,314.0,0,5.752572638825633,established,premium
Entire home/apt,3,5.0,0,2,3,1,4,41.328077613717696,19.810165129601955,Blloku,0.95,1,1,1,2025,274.0,0,5.616771097666572,early,mid
Entire home/apt,37,4.89,1,1,2,1,3,41.331675959238886,19.81898752883608,Blloku,0.465,1,1,15,2024,426.0,0,6.056784013228625,active,premium
Entire home/apt,43,4.88,1,2,3,2,5,41.33255892609721,19.820030195770272,Pazari i Ri,0.581,1,1,17,2024,662.0,0,6.4967749901858625,active,luxury
Entire home/apt,136,4.96,1,1,2,1,3,41.33019,19.82699,Myslym Shyri,0.967,1,1,54,2021,408.0,0,6.013715156042802,established,premium
Entire home/apt,205,4.87,1,1,1,1,4,41.33280395069673,19.822900593280792,Myslym Shyri,0.751,1,1,82,2019,311.0,1,5.7430031878094825,veteran,premium
Entire home/apt,259,4.88,1,1,3,1,4,41.32465,19.81683,Blloku,0.378,1,1,84,2018,344.0,1,5.84354441703136,veteran,premium
Entire home/apt,89,4.96,1,1,1,1,4,41.3257140134298,19.8151271892266,Blloku,0.443,1,1,36,2022,289.0,0,5.66988092298052,established,mid
Entire home/apt,43,4.98,0,1,1,1,4,41.33348571194741,19.82008628547192,Pazari i Ri,0.682,1,1,17,2024,388.0,0,5.963579343618446,active,premium
Entire home/apt,155,4.82,0,2,2,1,5,41.32428,19.82499,Pazari i Ri,0.784,1,1,62,2020,466.0,1,6.1463292576688975,veteran,premium
Entire home/apt,209,4.96,1,1,1,1,2,41.33179870440638,19.820632450282574,Pazari i Ri,0.523,1,1,84,2018,337.0,1,5.823045895483019,veteran,premium
Entire home/apt,13,5.0,0,1,1,1,3,41.3215997,19.8135726,Blloku,0.868,1,1,5,2025,478.0,0,6.171700597410915,active,premium
Entire home/apt,123,4.77,0,1,2,2,4,41.33162,19.81053,Selvia,1.016,0,1,49,2021,261.0,0,5.568344503761097,established,mid
