name,search_zone,neighborhood
Bohemian City Center Apartment,Blloku,Blloku
Imagination Inn — 1,Blloku,Blloku
Central Sunset View @ Enjoy Albania Apartments,Blloku,Blloku
Blloku Sweet @ Enjoy Albania Apartments,Blloku,Blloku
Rooftop Apartments Nr:2,Blloku,Myslym Shyri
Scandinavian Apartment • 2 Min Walk to Center,Blloku,Blloku
Central Superior A @ Enjoy Albania Apartments,Blloku,Pazari i Ri
Mango,Blloku,Blloku
Deluxe Room 02 Blloku Area,Blloku,Blloku
Blue Eclipse Apartment 2,Blloku,Blloku
Third floor cozy apartment loft,Blloku,Myslym Shyri
1.City Center Studio-With Great Balcony View.,Blloku,Blloku
Stay At Bazaar|-1Garage Parking|Tirane Center,Blloku,Myslym Shyri
22 Apartments • Luxury Stay • Free Parking,Blloku,Pazari i Ri
Skanderbeg View- Luxury Serviced apartment,Blloku,Blloku
Sunny Cozy Apt • 8 Min to Center • Pets Welcome,Blloku,Blloku
Mia's Place New Bazaar,Blloku,Myslym Shyri
Luxury Panoramic 2 BDR Apartment in city center,Blloku,Myslym Shyri
OVI Center No.2,Blloku,Blloku
Hobbit Inspired Central Studio,Blloku,Blloku
Sindi’s Cozy Studio in the City Center,Blloku,Blloku
Skanderbeg Deluxe C @ Enjoy Albania Apartments,Blloku,Blloku
"""ApHEARTments"" in Tirana City Center",Blloku,Pazari i Ri
"Cozy 1+1 Apartment, Balcony & Views, 5 Min Center",Blloku,Blloku
34°Bs *Tirana New Bazaar City Center,Blloku,Myslym Shyri
Sleeping Chest,Blloku,Blloku
Tirana Central Square,Blloku,Blloku
Skanderbeg Square Tirana Apt,Blloku,Pazari i Ri
Flower apartment free parking,Blloku,Myslym Shyri
New Bazaar Azurè Apartments Tirana,Blloku,Myslym Shyri
Modern Apartment in the City Center of Tirana,Blloku,Blloku
Lovely 1+1 Tirana Center•Self Check-In•Workspace,Blloku,Blloku
My Albanian Apartament,Blloku,Pazari i Ri
Downtown One Central | Perfect Cozy Stay in Center,Blloku,Pazari i Ri
Downtown whispers Studio,Blloku,Pazari i Ri
Apartment 1,Blloku,Blloku
"Excellent  Location
Skanderbeg Square!",Blloku,Selvia
Downtown Dream Duplex,Blloku,Blloku
Hidden gem in heart of the city! Steps to Blloku!,Blloku,Blloku
SOLEiL Ekspozita Old Town Tirana,Blloku,Blloku
"ApHEARTments 4, Clock Tower View, Top Location",Blloku,Myslym Shyri
Pazari Cozy Terrace @ Enjoy Albania Apartments,Blloku,Myslym Shyri
Blloku Deluxe 1BR/AP,Blloku,Blloku
"Bazzarro, centre of Tirana (01)",Blloku,Myslym Shyri
Petro Apartment 1,Blloku,Blloku
Pastel Rooftop @Square w/ 24H Self Check In,Blloku,Pazari i Ri
Skanderbeg Cozy B @ Enjoy Albania Apartments,Blloku,Pazari i Ri
Cozy 1-bedroom apartment in the center of Tirana,Blloku,Myslym Shyri
"Home away from Home 200m2 apt+ patio, near Plaza",Blloku,Blloku
Casa Mama Apartment,Blloku,Blloku
City center Studio 4 at Pazari i Ri,Blloku,Myslym Shyri
Blloku 2 1+1 Luxury Apartament,Blloku,Blloku
RTSH - Elegant 6th-Floor Ap in Tirana,Blloku,Pazari i Ri
Be My Guest - Lovely Home,Blloku,Selvia
Brikena’s Villa - only a 5 min walk from center,Blloku,Blloku
Skanderbeg Central Loft @ Enjoy Albania Apartments,Blloku,Blloku
Adore Apartment City Center,Blloku,Myslym Shyri
Noir Heaven - Sweet Escape Apartments,Blloku,Blloku
Lana Luxe Apartment 3,Blloku,Blloku
Central City Aden's House,Blloku,Blloku
Jacuzzi Living Tirana Center 2,Blloku,Blloku
Great apartament in center of Tirana,Blloku,Myslym Shyri
Cozy flat in the heart of Tirana,Blloku,Blloku
Cute and comfy City Center - Ajia Apartments,Blloku,Myslym Shyri
"City Center Studio 1, Tirana",Blloku,Blloku
Blloku Balcony Apartment,Blloku,Blloku
Blloku 3 Luxury Studio,Blloku,Blloku
"City Center ""Savannah"" Studio Apartment.",Blloku,Pazari i Ri
Green Harmony Premium Apartment *Free Parking*,Blloku,Blloku
The 5th Element-Central Tirana,Blloku,Selvia
Spacious for 4 Guests+Free Parking –Central Tirana,Blloku,Myslym Shyri
Amazing  Top Floor Apartment in the City Center,Blloku,Pazari i Ri
Alta Vista 2 Bedrooms •City View & Private Parking,Blloku,Blloku
