name,neighborhood,search_zone,lat,lng,est_start_year
Bohemian City Center Apartment,Blloku,Blloku,41.328680153698826,19.813829060711782,2020
Imagination Inn — 1,Blloku,Blloku,41.32435,19.81024,2019
Central Sunset View @ Enjoy Albania Apartments,Blloku,Blloku,41.32805996967127,19.812354510834343,2020
Blloku Sweet @ Enjoy Albania Apartments,Blloku,Blloku,41.32210123096071,19.81574600859833,2024
Rooftop Apartments Nr:2,Myslym Shyri,Blloku,41.33354,19.82166,2022
Scandinavian Apartment • 2 Min Walk to Center,Blloku,Blloku,41.33040117771233,19.81339283287525,2025
Central Superior A @ Enjoy Albania Apartments,Pazari i Ri,Blloku,41.332966,19.820515,2019
Mango,Blloku,Blloku,41.32738421539848,19.81137380003929,2023
Deluxe Room 02 Blloku Area,Blloku,Blloku,41.32005,19.81717,2018
Blue Eclipse Apartment 2,Blloku,Blloku,41.32958,19.8141,2018
Third floor cozy apartment loft,Myslym Shyri,Blloku,41.3322830851514,19.825815483927727,2025
1.City Center Studio-With Great Balcony View.,Blloku,Blloku,41.32238,19.81896,2018
Stay At Bazaar|-1Garage Parking|Tirane Center,Myslym Shyri,Blloku,41.33072997950658,19.825635105371475,2023
22 Apartments • Luxury Stay • Free Parking,Pazari i Ri,Blloku,41.331753377057176,19.821229241788387,2025
Skanderbeg View- Luxury Serviced apartment,Blloku,Blloku,41.33026119926108,19.816332198679447,2025
Sunny Cozy Apt • 8 Min to Center • Pets Welcome,Blloku,Blloku,41.33405,19.81559,2018
Mia's Place New Bazaar,Myslym Shyri,Blloku,41.329941,19.824825,2023
Luxury Panoramic 2 BDR Apartment in city center,Myslym Shyri,Blloku,41.33341774049926,19.821209460496902,2024
OVI Center No.2,Blloku,Blloku,41.3225673,19.8144819,2023
Hobbit Inspired Central Studio,Blloku,Blloku,41.32709,19.81388,2019
Sindi’s Cozy Studio in the City Center,Blloku,Blloku,41.32656166166692,19.81391955167055,2018
Skanderbeg Deluxe C @ Enjoy Albania Apartments,Blloku,Blloku,41.327032,19.814839,2018
"""ApHEARTments"" in Tirana City Center",Pazari i Ri,Blloku,41.32893,19.82342,2018
"Cozy 1+1 Apartment, Balcony & Views, 5 Min Center",Blloku,Blloku,41.33345,19.81817,2018
34°Bs *Tirana New Bazaar City Center,Myslym Shyri,Blloku,41.33009,19.82779,2024
Sleeping Chest,Blloku,Blloku,41.328077613717696,19.810165129601955,2025
Tirana Central Square,Blloku,Blloku,41.331675959238886,19.81898752883608,2024
Skanderbeg Square Tirana Apt,Pazari i Ri,Blloku,41.33255892609721,19.820030195770272,2024
Flower apartment free parking,Myslym Shyri,Blloku,41.33019,19.82699,2021
New Bazaar Azurè Apartments Tirana,Myslym Shyri,Blloku,41.33280395069673,19.822900593280792,2019
Modern Apartment in the City Center of Tirana,Blloku,Blloku,41.32465,19.81683,2018
Lovely 1+1 Tirana Center•Self Check-In•Workspace,Blloku,Blloku,41.3257140134298,19.8151271892266,2022
My Albanian Apartament,Pazari i Ri,Blloku,41.33348571194741,19.82008628547192,2024
Downtown One Central | Perfect Cozy Stay in Center,Pazari i Ri,Blloku,41.32428,19.82499,2020
Downtown whispers Studio,Pazari i Ri,Blloku,41.33179870440638,19.820632450282574,2018
Apartment 1,Blloku,Blloku,41.3215997,19.8135726,2025
"Excellent  Location
Skanderbeg Square!",Selvia,Blloku,41.33162,19.81053,2021
Downtown Dream Duplex,Blloku,Blloku,41.32593,19.81554,2023
Hidden gem in heart of the city! Steps to Blloku!,Blloku,Blloku,41.32475,19.81692,2023
SOLEiL Ekspozita Old Town Tirana,Blloku,Blloku,41.3243734346966,19.81331710328825,2023
"ApHEARTments 4, Clock Tower View, Top Location",Myslym Shyri,Blloku,41.3291,19.82371,2021
Pazari Cozy Terrace @ Enjoy Albania Apartments,Myslym Shyri,Blloku,41.33101,19.824997,2018
Blloku Deluxe 1BR/AP,Blloku,Blloku,41.32233644279398,19.81373816728592,2022
"Bazzarro, centre of Tirana (01)",Myslym Shyri,Blloku,41.332757834991696,19.82359081071041,2022
Petro Apartment 1,Blloku,Blloku,41.33259,19.81557,2022
Pastel Rooftop @Square w/ 24H Self Check In,Pazari i Ri,Blloku,41.33115,19.82022,2018
Skanderbeg Cozy B @ Enjoy Albania Apartments,Pazari i Ri,Blloku,41.33073746525499,19.82009231177825,2025
Cozy 1-bedroom apartment in the center of Tirana,Myslym Shyri,Blloku,41.33375,19.82175,2022
"Home away from Home 200m2 apt+ patio, near Plaza",Blloku,Blloku,41.32879,19.81872,2018
Casa Mama Apartment,Blloku,Blloku,41.32395,19.8154,2020
City center Studio 4 at Pazari i Ri,Myslym Shyri,Blloku,41.33063,19.82564,2018
Blloku 2 1+1 Luxury Apartament,Blloku,Blloku,41.3230170425361,19.816852882504463,2018
RTSH - Elegant 6th-Floor Ap in Tirana,Pazari i Ri,Blloku,41.3213663350373,19.824529050562635,2025
Be My Guest - Lovely Home,Selvia,Blloku,41.331983993579165,19.81067910790444,2022
Brikena’s Villa - only a 5 min walk from center,Blloku,Blloku,41.32625276016432,19.81429689201921,2023
Skanderbeg Central Loft @ Enjoy Albania Apartments,Blloku,Blloku,41.33078791301448,19.81944350436861,2020
Adore Apartment City Center,Myslym Shyri,Blloku,41.33244068434698,19.82282850891352,2022
Noir Heaven - Sweet Escape Apartments,Blloku,Blloku,41.324109443920975,19.81132230325549,2025
Lana Luxe Apartment 3,Blloku,Blloku,41.32285825811577,19.814890355671515,2025
Central City Aden's House,Blloku,Blloku,41.32023,19.81343,2019
Jacuzzi Living Tirana Center 2,Blloku,Blloku,41.33069700173305,19.814650118350983,2024
Great apartament in center of Tirana,Myslym Shyri,Blloku,41.33371,19.82432,2021
Cozy flat in the heart of Tirana,Blloku,Blloku,41.323757,19.815785,2020
Cute and comfy City Center - Ajia Apartments,Myslym Shyri,Blloku,41.33298,19.82644,2021
"City Center Studio 1, Tirana",Blloku,Blloku,41.33123047459228,19.81172885745764,2025
Blloku Balcony Apartment,Blloku,Blloku,41.322887286814925,19.81749252209016,2024
Blloku 3 Luxury Studio,Blloku,Blloku,41.32285564365512,19.81674123555422,2018
"City Center ""Savannah"" Studio Apartment.",Pazari i Ri,Blloku,41.32928,19.82053,2018
