id,name,room_type,price_usd_night,review_count,avg_rating,is_superhost,bedrooms,beds,bathrooms,persons,lat,lng,snapshot_month,search_zone,date_window,neighborhood,dist_center_km,is_tourist_zone,is_entire_home,est_active_months,est_start_year,est_start_month
879446374664863905,Bohemian City Center Apartment,Entire home/apt,341.0,166,4.89,True,1,1,1.0,3,41.328680153698826,19.813829060711782,2026-03,Blloku,2026-06,Blloku,0.556,1,1,66,2020,2020-01
1206668432717512142,Imagination Inn — 1,Entire home/apt,321.0,187,4.9,True,1,1,1.0,2,41.32435,19.81024,2026-03,Blloku,2026-06,Blloku,1.002,1,1,75,2019,2019-01
910081850010834212,Central Sunset View @ Enjoy Albania Apartments,Entire home/apt,364.0,153,4.86,False,1,2,1.0,3,41.32805996967127,19.812354510834343,2026-03,Blloku,2026-06,Blloku,0.707,1,1,61,2020,2020-02
1291151230434197201,Blloku Sweet @ Enjoy Albania Apartments,Entire home/apt,391.0,54,4.78,False,1,1,1.0,4,41.32210123096071,19.81574600859833,2026-03,Blloku,2026-06,Blloku,0.683,1,1,22,2024,2024-01
1216775669637120297,Rooftop Apartments Nr:2,Entire home/apt,257.0,104,4.93,True,1,1,1.0,2,41.33354,19.82166,2026-03,Blloku,2026-06,Myslym Shyri,0.747,1,1,42,2022,2022-01
599929916977304834,Scandinavian Apartment • 2 Min Walk to Center,Entire home/apt,353.0,0,,True,2,3,1.0,5,41.33040117771233,19.81339283287525,2026-03,Blloku,2026-06,Blloku,0.671,1,1,1,2025,2025-02
629419939901176131,Central Superior A @ Enjoy Albania Apartments,Entire home/apt,484.0,179,4.82,False,2,2,1.0,5,41.332966,19.820515,2026-03,Blloku,2026-06,Pazari i Ri,0.639,1,1,72,2019,2019-03
1101309330685121557,Mango,Entire home/apt,464.0,72,4.99,True,2,2,1.0,3,41.32738421539848,19.81137380003929,2026-03,Blloku,2026-06,Blloku,0.813,1,1,29,2023,2023-01
46349812,Deluxe Room 02 Blloku Area,Private room,344.0,275,4.89,True,1,1,1.0,2,41.32005,19.81717,2026-03,Blloku,2026-06,Blloku,0.844,1,0,84,2018,2018-03
828826832998750891,Blue Eclipse Apartment 2,Entire home/apt,329.0,272,4.89,True,1,2,1.0,4,41.32958,19.8141,2026-03,Blloku,2026-06,Blloku,0.56,1,1,84,2018,2018-03
1628492156099783090,Third floor cozy apartment loft,Entire home/apt,387.0,0,,True,1,1,1.0,2,41.3322830851514,19.825815483927727,2026-03,Blloku,2026-06,Myslym Shyri,0.952,1,1,1,2025,2025-02
39986839,1.City Center Studio-With Great Balcony View.,Entire home/apt,443.0,596,4.91,True,1,1,1.0,2,41.32238,19.81896,2026-03,Blloku,2026-06,Blloku,0.569,1,1,84,2018,2018-03
1460322702641625626,Stay At Bazaar|-1Garage Parking|Tirane Center,Entire home/apt,485.0,76,4.96,True,1,1,1.0,2,41.33072997950658,19.825635105371475,2026-03,Blloku,2026-06,Myslym Shyri,0.849,1,1,30,2023,2023-01
1642913055672474383,22 Apartments • Luxury Stay • Free Parking,Entire home/apt,588.0,3,5.0,False,2,5,1.0,6,41.331753377057176,19.821229241788387,2026-03,Blloku,2026-06,Pazari i Ri,0.549,1,1,1,2025,2025-02
1530501208263429883,Skanderbeg View- Luxury Serviced apartment,Entire home/apt,509.0,19,4.95,True,1,1,1.0,2,41.33026119926108,19.816332198679447,2026-03,Blloku,2026-06,Blloku,0.404,1,1,8,2025,2025-01
31947168,Sunny Cozy Apt • 8 Min to Center • Pets Welcome,Entire home/apt,261.0,218,4.88,True,1,2,1.0,4,41.33405,19.81559,2026-03,Blloku,2026-06,Blloku,0.805,1,1,84,2018,2018-03
632471292361019873,Mia's Place New Bazaar,Entire home/apt,351.0,70,4.94,True,1,2,1.0,3,41.329941,19.824825,2026-03,Blloku,2026-06,Myslym Shyri,0.732,1,1,28,2023,2023-01
1309655179436009682,Luxury Panoramic 2 BDR Apartment in city center,Entire home/apt,614.0,55,4.87,True,2,3,1.0,5,41.33341774049926,19.821209460496902,2026-03,Blloku,2026-06,Myslym Shyri,0.713,1,1,22,2024,2024-01
1276084077220481399,OVI Center No.2,Entire home/apt,298.0,81,4.86,True,1,2,1.0,3,41.3225673,19.8144819,2026-03,Blloku,2026-06,Blloku,0.72,1,1,32,2023,2023-01
44389440,Hobbit Inspired Central Studio,Entire home/apt,392.0,196,4.95,True,1,1,1.0,2,41.32709,19.81388,2026-03,Blloku,2026-06,Blloku,0.537,1,1,78,2019,2019-01
1211538212796906051,Sindi’s Cozy Studio in the City Center,Entire home/apt,317.0,238,4.94,True,1,1,1.0,2,41.32656166166692,19.81391955167055,2026-03,Blloku,2026-06,Blloku,0.541,1,1,84,2018,2018-03
