month,trend_airbnb_tirana,trend_qira_ditore_tirane,trend_qira_tirane,year_month
2018-01-01,30,0,0,2018-01
2018-02-01,28,0,0,2018-02
2018-03-01,27,0,72,2018-03
2018-04-01,37,0,0,2018-04
2018-05-01,0,0,0,2018-05
2018-06-01,49,0,0,2018-06
2018-07-01,46,0,0,2018-07
2018-08-01,71,0,0,2018-08
2018-09-01,31,0,73,2018-09
2018-10-01,34,0,0,2018-10
2018-11-01,31,0,0,2018-11
2018-12-01,0,0,0,2018-12
2019-01-01,37,0,0,2019-01
2019-02-01,56,0,0,2019-02
2019-03-01,33,0,60,2019-03
2019-04-01,51,0,0,2019-04
2019-05-01,66,0,0,2019-05
2019-06-01,49,100,0,2019-06
2019-07-01,48,0,0,2019-07
2019-08-01,47,0,94,2019-08
2019-09-01,54,0,100,2019-09
2019-10-01,58,0,0,2019-10
2019-11-01,37,0,0,2019-11
2019-12-01,61,0,0,2019-12
2020-01-01,53,0,58,2020-01
2020-02-01,48,0,56,2020-02
2020-03-01,38,0,0,2020-03
2020-04-01,26,0,52,2020-04
2020-05-01,0,0,0,2020-05
2020-06-01,27,0,0,2020-06
2020-07-01,39,0,0,2020-07
2020-08-01,34,0,53,2020-08
2020-09-01,37,0,61,2020-09
2020-10-01,23,0,0,2020-10
2020-11-01,29,0,0,2020-11
2020-12-01,24,0,0,2020-12
2021-01-01,27,0,0,2021-01
2021-02-01,26,0,0,2021-02
2021-03-01,40,0,50,2021-03
2021-04-01,47,0,0,2021-04
2021-05-01,64,0,0,2021-05
2021-06-01,67,0,0,2021-06
2021-07-01,49,0,0,2021-07
2021-08-01,46,0,54,2021-08
2021-09-01,45,0,0,2021-09
2021-10-01,51,0,57,2021-10
2021-11-01,38,0,0,2021-11
2021-12-01,39,0,0,2021-12
2022-01-01,49,0,0,2022-01
2022-02-01,47,0,0,2022-02
2022-03-01,48,0,0,2022-03
2022-04-01,34,0,0,2022-04
2022-05-01,94,0,0,2022-05
2022-06-01,70,0,76,2022-06
2022-07-01,73,0,0,2022-07
2022-08-01,76,0,0,2022-08
2022-09-01,71,0,60,2022-09
2022-10-01,92,0,0,2022-10
2022-11-01,59,0,0,2022-11
2022-12-01,46,0,0,2022-12
2023-01-01,49,0,0,2023-01
2023-02-01,55,0,0,2023-02
2023-03-01,44,0,0,2023-03
2023-04-01,48,0,53,2023-04
2023-05-01,74,0,0,2023-05
2023-06-01,79,0,55,2023-06
2023-07-01,91,0,0,2023-07
2023-08-01,81,0,0,2023-08
2023-09-01,77,0,62,2023-09
2023-10-01,80,0,75,2023-10
2023-11-01,72,0,0,2023-11
2023-12-01,62,0,56,2023-12
2024-01-01,74,0,0,2024-01
2024-02-01,62,0,73,2024-02
2024-03-01,71,0,0,2024-03
2024-04-01,56,0,0,2024-04
2024-05-01,92,0,0,2024-05
2024-06-01,100,0,61,2024-06
2024-07-01,57,0,0,2024-07
2024-08-01,77,0,0,2024-08
2024-09-01,74,0,0,2024-09
2024-10-01,70,0,67,2024-10
2024-11-01,81,0,0,2024-11
2024-12-01,91,0,0,2024-12
2025-01-01,80,0,64,2025-01
2025-02-01,77,0,67,2025-02
2025-03-01,63,0,0,2025-03
